reviews,category_sentiment,category,sentiment,room
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,wifi_P1-neg,wifi_P1,neg,Superior
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,kebersihan-neg,kebersihan,neg,Twin
kamar ada semutnya. kamar mandi bermasalah. buangan air mampet..sehingga air meluber ke luar kamar,kebersihan-neg,kebersihan,neg,Suite
"Kamar mandi bau, airnya bau",bau_P1-neg,bau_P1,neg,Single
"tak sesuai espektasi, kamar sempit, pintu kamar mandi rusak, cek in menunggu terlalu lama, malam suara berisik dr atap kamar, tidak nyaman",service-neg,service,neg,Twin
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau,linen_P1-neg,linen_P1,neg,Single
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau,wifi_P1-neg,wifi_P1,neg,Deluxe
baik dan puas tapi masih ada kekurangannya waktu saya boking airy rooms saya pilih 1 bad tp ketika saya cek in yang di kasih 2 bad.! mohon di tingkatkan lagi.. terimah kasih airy rooma.!,service-neg,service,neg,Superior
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",kebersihan-neg,kebersihan,neg,Twin
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",linen_P1-neg,linen_P1,neg,Double
sarung bantal agak bau,linen_P1-neg,linen_P1,neg,Single
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",kebersihan-neg,kebersihan,neg,Single
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",linen_P1-neg,linen_P1,neg,Single
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",bau_P1-neg,bau_P1,neg,Suite
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",kebersihan-neg,kebersihan,neg,Superior
Dari segi fasilitas nya sekarang kurang dari kamar mandi nya showernya tidak ada pengikatnya. Dari pelayanannya sedikit lebih d tingkatkan lagi,service-neg,service,neg,Twin
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",ac_P1-neg,ac_P1,neg,Twin
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",kebersihan-neg,kebersihan,neg,Suite
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Suite
agak bau rokok :),bau_P1-neg,bau_P1,neg,Twin
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Superior
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",kebersihan-neg,kebersihan,neg,Single
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",general-pos,general,pos,Superior
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",linen_P1-neg,linen_P1,neg,Double
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",air_panas_P1-neg,air_panas_P1,neg,Single
"Sprei kasur dan handuk masih kurangp bersih tetapi,klo lebih bersih pasti tambah oke",linen_P1-neg,linen_P1,neg,Deluxe
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",tv_P1-neg,tv_P1,neg,Double
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",general-pos,general,pos,Deluxe
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,service-pos,service,pos,Double
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,linen_P1-neg,linen_P1,neg,Twin
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",linen_P1-pos,linen_P1,pos,Deluxe
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",kebersihan-pos,kebersihan,pos,Single
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",ac_P1-pos,ac_P1,pos,Superior
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",air_panas_P1-pos,air_panas_P1,pos,Deluxe
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",tv_P1-neg,tv_P1,neg,Superior
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,wifi_P1-neg,wifi_P1,neg,Deluxe
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,air_panas_P1-neg,air_panas_P1,neg,Twin
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",air_panas_P1-neg,air_panas_P1,neg,Suite
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",sunrise_meal_P1-neg,sunrise_meal_P1,neg,Twin
kasur dan selimut agak kotor,linen_P1-neg,linen_P1,neg,Deluxe
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,air_panas_P1-neg,air_panas_P1,neg,Superior
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,general-pos,general,pos,Superior
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,ac_P1-neg,ac_P1,neg,Superior
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",wifi_P1-neg,wifi_P1,neg,Single
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",general-pos,general,pos,Double
Penginapan ini cukup rensentatif dan sayangnya air panasnya tidak maksimal,air_panas_P1-neg,air_panas_P1,neg,Superior
"The TV should be upgrade, and also the toiletaries",-ignored-,,ignored,Double
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",bau_P1-neg,bau_P1,neg,Single
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",linen_P1-neg,linen_P1,neg,Double
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",service-neg,service,neg,Deluxe
